Layer name,In channels,kernel_size,index_channel,input_sparsity,weight_sparsity,Level(128->32) skip counts,Level(128->32) skip rate,Level(32->16) skip counts,Level(32->16) skip rate,Level(16->8) skip counts,Level(16->8) skip rate,Level(8->4) skip counts,Level(8->4) skip rate,Level(4->2) skip counts,Level(4->2) skip rate,Level(2->1) skip counts,Level(2->1) skip rate,compute count,weights_update_time
26/cv3/2/1/conv,128,3,111,0.8346354166666666,0.4644097222222222,39787,0.5756221064814815,20550,0.5946180555555556,6926,0.4008101851851852,2031,0.23506944444444444,649,0.1502314814814815,245,0.11342592592592593,2160,9
26/cv3/2/2/conv,128,1,40,0.4830403645833333,0.1953125,494,0.06432291666666666,198,0.0515625,25,0.013020833333333334,2,0.0020833333333333333,0,0.0,0,0.0,240,1
4/0/Conv/pwconv1,128,1,69,0.38264363606770835,0.515625,17232,0.140234375,9757,0.15880533854166667,1859,0.06051432291666667,364,0.023697916666666666,160,0.020833333333333332,13,0.0033854166666666668,3840,1
4/0/Conv/pwconv3,256,1,5,0.7388092041015625,0.4609375,83920,0.3414713541666667,40837,0.33233235677083334,8500,0.13834635416666666,1279,0.04163411458333333,273,0.0177734375,77,0.010026041666666667,7680,2
4/0/conv1/conv,128,3,20,0.41412150065104164,0.4782986111111111,131493,0.11889919704861111,70866,0.12815755208333332,16461,0.05953776041666667,5245,0.03794126157407408,2163,0.03129340277777778,925,0.026765046296296297,34560,9
4/0/conv2/conv,512,3,45,0.9086949666341145,0.4453125,3128880,0.7073025173611112,1492825,0.6749244972511574,524487,0.47425401475694445,145332,0.2628255208333333,33388,0.12076099537037037,8287,0.05994646990740741,138240,36
4/1/Conv/pwconv1,128,1,167,0.5704305013020833,0.4453125,19145,0.15580240885416666,9181,0.14943033854166668,1135,0.036946614583333336,173,0.011263020833333333,64,0.008333333333333333,6,0.0015625,3840,1
4/1/Conv/pwconv3,256,1,74,0.7964884440104166,0.44140625,103064,0.41936848958333334,45861,0.3732177734375,10469,0.17039388020833332,1888,0.06145833333333333,261,0.0169921875,60,0.0078125,7680,2
4/1/conv1/conv,128,3,357,0.5893208821614583,0.4583333333333333,203090,0.18363896122685186,107137,0.19375180844907408,21353,0.0772316261574074,5741,0.041529224537037036,2195,0.03175636574074074,917,0.026533564814814815,34560,9
4/1/conv2/conv,512,3,76,0.9451700846354166,0.4388020833333333,3591642,0.8119127061631944,1752073,0.7921336986400463,703773,0.6363688151041667,238211,0.4307924623842593,64034,0.2316044560185185,15090,0.1091579861111111,138240,36
5/encode_conv,128,3,22,0.6213623046875,0.4609375,57622,0.20841290509259258,30535,0.2208839699074074,6191,0.08956886574074074,1433,0.04146412037037037,483,0.02795138888888889,204,0.02361111111111111,8640,9
6/0/Conv/pwconv1,256,1,235,0.6043294270833334,0.4140625,8155,0.13273111979166666,5035,0.16389973958333334,760,0.049479166666666664,123,0.016015625,22,0.005729166666666666,4,0.0020833333333333333,1920,2
6/0/Conv/pwconv3,512,1,63,0.8138529459635416,0.44921875,58275,0.4742431640625,28525,0.4642740885416667,7420,0.24153645833333334,1431,0.0931640625,233,0.030338541666666666,51,0.01328125,3840,4
6/0/conv1/conv1,256,1,129,0.58365478515625,0.453125,9486,0.15439453125,4541,0.14781901041666667,847,0.05514322916666667,157,0.020442708333333334,25,0.006510416666666667,9,0.0046875,1920,2
6/0/conv1/conv3,256,1,455,0.7114664713541666,0.44921875,17677,0.2877115885416667,8844,0.287890625,2012,0.13098958333333333,341,0.04440104166666667,87,0.02265625,19,0.009895833333333333,1920,2
6/0/conv2/conv1,512,1,363,0.74197998046875,0.443359375,40274,0.3277506510416667,19808,0.3223958333333333,4278,0.1392578125,704,0.04583333333333333,128,0.016666666666666666,26,0.0067708333333333336,3840,4
6/0/conv2/conv3,512,1,71,0.750445556640625,0.443359375,44124,0.35908203125,22233,0.361865234375,4894,0.15930989583333333,888,0.0578125,182,0.023697916666666666,42,0.0109375,3840,4
6/1/Conv/pwconv1,256,1,212,0.6505615234375,0.46875,14333,0.23328450520833333,6900,0.224609375,955,0.062174479166666664,113,0.014713541666666666,32,0.008333333333333333,2,0.0010416666666666667,1920,2
6/1/Conv/pwconv3,512,1,146,0.8132364908854167,0.384765625,54749,0.4455485026041667,25326,0.41220703125,5949,0.19365234375,1034,0.06731770833333334,213,0.027734375,43,0.011197916666666667,3840,4
6/1/conv1/conv1,256,1,253,0.6350992838541667,0.44140625,13547,0.22049153645833333,5371,0.17483723958333333,838,0.05455729166666667,142,0.018489583333333334,22,0.005729166666666666,7,0.0036458333333333334,1920,2
6/1/conv1/conv3,256,1,68,0.7193806966145834,0.4453125,16934,0.27561848958333335,9250,0.3011067708333333,1988,0.12942708333333333,383,0.04986979166666667,76,0.019791666666666666,16,0.008333333333333333,1920,2
6/1/conv2/conv1,512,1,365,0.7436726888020834,0.42578125,38646,0.314501953125,18308,0.2979817708333333,3740,0.12174479166666667,647,0.04212239583333333,171,0.022265625,53,0.013802083333333333,3840,4
