layer_name,num_parameters,zero_count,one_count,two_count,three_count,nonzero_count,zero_ratio,nonzero_ratio,one_ratio,two_ratio,three_ratio,sparsity
12_SNN-Block2/step1-8_SepConv/step1_lif1,245760,211188,30176,4224,172,34572,0.859326171875,0.140673828125,0.12278645833333333,0.0171875,0.0006998697916666667,0.859326171875
12_SNN-Block2/step1-8_SepConv/step5_lif3,491520,374875,103303,11606,1736,116645,0.7626851399739584,0.23731486002604166,0.21017049153645834,0.023612467447916667,0.0035319010416666667,0.7626851399739584
25_SNN-Block-2/step16-21_conv2/step20_lif3,122880,100429,17148,3862,1441,22451,0.8172932942708333,0.18270670572916667,0.13955078125,0.03142903645833333,0.011726888020833333,0.8172932942708333
25_SNN-Block-2/step16-21_conv2/step18_lif2,122880,92215,24388,5216,1061,30665,0.7504475911458334,0.24955240885416666,0.19847005208333332,0.04244791666666667,0.008634440104166667,0.7504475911458334
25_SNN-Block-2/step16-21_conv2/step16_lif1,122880,88951,28009,5020,900,33929,0.7238850911458333,0.2761149088541667,0.22793782552083333,0.040852864583333336,0.00732421875,0.7238850911458333
25_SNN-Block-2/step10-15_conv1/step10_lif1,122880,97811,18552,4962,1555,25069,0.7959879557291667,0.20401204427083333,0.1509765625,0.040380859375,0.012654622395833334,0.7959879557291667
25_SNN-Block-2/step10-15_conv1/step14_lif3,122880,96215,20547,4375,1743,26665,0.7829996744791666,0.21700032552083334,0.1672119140625,0.035603841145833336,0.0141845703125,0.7829996744791666
25_SNN-Block-2/step10-15_conv1/step12_lif2,122880,87480,27958,6160,1282,35400,0.7119140625,0.2880859375,0.22752278645833332,0.050130208333333336,0.010432942708333334,0.7119140625
25_SNN-Block-2/step1-8_SepConv/step3_lif2,245760,186444,48556,9134,1626,59316,0.758642578125,0.241357421875,0.19757486979166666,0.03716634114583333,0.0066162109375,0.758642578125
25_SNN-Block-2/step1-8_SepConv/step7_lif4,122880,82160,30264,8671,1785,40720,0.6686197916666666,0.3313802083333333,0.2462890625,0.07056477864583334,0.0145263671875,0.6686197916666666
25_SNN-Block-2/step1-8_SepConv/step1_lif1,122880,99301,19748,3341,490,23579,0.8081136067708333,0.19188639322916667,0.16070963541666666,0.027189127604166665,0.003987630208333333,0.8081136067708333
25_SNN-Block-2/step1-8_SepConv/step5_lif3,245760,185457,50844,7160,2299,60303,0.75462646484375,0.24537353515625,0.206884765625,0.029134114583333332,0.009354654947916667,0.75462646484375
